
[STANDBY-SENTRY] 12:58:59 | Intent: ACTIVE | Load Delta: 0.38
[STANDBY-SENTRY] 12:59:59 | Intent: ACTIVE | Load Delta: 1.85
[STANDBY-SENTRY] 13:00:59 | Intent: ACTIVE | Load Delta: 1.84
[STANDBY-SENTRY] 13:01:59 | Intent: ACTIVE | Load Delta: 0.81
[STANDBY-SENTRY] 13:02:59 | Intent: ACTIVE | Load Delta: 1.07
[STANDBY-SENTRY] 13:03:59 | Intent: ACTIVE | Load Delta: 0.78
[STANDBY-SENTRY] 13:04:59 | Intent: ACTIVE | Load Delta: 1.34
[STANDBY-SENTRY] 13:05:59 | Intent: ACTIVE | Load Delta: 1.16
[STANDBY-SENTRY] 13:06:59 | Intent: ACTIVE | Load Delta: 0.61
[STANDBY-SENTRY] 13:07:59 | Intent: ACTIVE | Load Delta: 2.01
[STANDBY-SENTRY] 13:08:59 | Intent: ACTIVE | Load Delta: 1.30
[STANDBY-SENTRY] 13:09:59 | Intent: ACTIVE | Load Delta: 0.69
[STANDBY-SENTRY] 13:10:59 | Intent: ACTIVE | Load Delta: 0.66
[STANDBY-SENTRY] 13:11:59 | Intent: ACTIVE | Load Delta: 0.69
[STANDBY-SENTRY] 13:12:59 | Intent: ACTIVE | Load Delta: 0.41
[STANDBY-SENTRY] 13:13:59 | Intent: ACTIVE | Load Delta: 0.37
[STANDBY-SENTRY] 13:14:59 | Intent: ACTIVE | Load Delta: 0.18
[STANDBY-SENTRY] 13:15:59 | Intent: ACTIVE | Load Delta: 0.60
[STANDBY-SENTRY] 13:16:59 | Intent: ACTIVE | Load Delta: 0.22
[STANDBY-SENTRY] 13:17:59 | Intent: ACTIVE | Load Delta: 0.14
[STANDBY-SENTRY] 13:18:59 | Intent: ACTIVE | Load Delta: 0.23
[STANDBY-SENTRY] 13:19:59 | Intent: ACTIVE | Load Delta: 0.93
[STANDBY-SENTRY] 13:20:59 | Intent: ACTIVE | Load Delta: 0.71
[STANDBY-SENTRY] 13:21:59 | Intent: ACTIVE | Load Delta: 0.38
[STANDBY-SENTRY] 13:22:59 | Intent: ACTIVE | Load Delta: 0.21
[STANDBY-SENTRY] 13:23:59 | Intent: ACTIVE | Load Delta: 0.12
[STANDBY-SENTRY] 13:24:59 | Intent: ACTIVE | Load Delta: 0.26
[STANDBY-SENTRY] 13:25:59 | Intent: ACTIVE | Load Delta: 0.47
[STANDBY-SENTRY] 13:26:59 | Intent: ACTIVE | Load Delta: 0.17
[STANDBY-SENTRY] 13:27:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 13:28:59 | Intent: ACTIVE | Load Delta: 0.42
[STANDBY-SENTRY] 13:29:59 | Intent: ACTIVE | Load Delta: 0.43
[STANDBY-SENTRY] 13:30:59 | Intent: ACTIVE | Load Delta: 0.79
[STANDBY-SENTRY] 13:31:59 | Intent: ACTIVE | Load Delta: 0.52
[STANDBY-SENTRY] 13:32:59 | Intent: ACTIVE | Load Delta: 0.62
[STANDBY-SENTRY] 13:33:59 | Intent: ACTIVE | Load Delta: 0.47
[STANDBY-SENTRY] 13:34:59 | Intent: ACTIVE | Load Delta: 0.93
[STANDBY-SENTRY] 13:35:59 | Intent: ACTIVE | Load Delta: 0.60
[STANDBY-SENTRY] 13:36:59 | Intent: ACTIVE | Load Delta: 0.78
[STANDBY-SENTRY] 13:37:59 | Intent: ACTIVE | Load Delta: 1.14
[STANDBY-SENTRY] 13:38:59 | Intent: ACTIVE | Load Delta: 1.02
[STANDBY-SENTRY] 13:39:59 | Intent: ACTIVE | Load Delta: 0.88
[STANDBY-SENTRY] 13:40:59 | Intent: ACTIVE | Load Delta: 0.36
[STANDBY-SENTRY] 13:41:59 | Intent: ACTIVE | Load Delta: 0.62
[STANDBY-SENTRY] 13:42:59 | Intent: ACTIVE | Load Delta: 0.37
[STANDBY-SENTRY] 13:43:59 | Intent: ACTIVE | Load Delta: 0.37
[STANDBY-SENTRY] 13:44:59 | Intent: ACTIVE | Load Delta: 0.34
[STANDBY-SENTRY] 13:45:59 | Intent: ACTIVE | Load Delta: 1.11
[STANDBY-SENTRY] 13:46:59 | Intent: ACTIVE | Load Delta: 0.63
[STANDBY-SENTRY] 13:47:59 | Intent: ACTIVE | Load Delta: 0.37
[STANDBY-SENTRY] 13:48:59 | Intent: ACTIVE | Load Delta: 0.30
[STANDBY-SENTRY] 13:49:59 | Intent: ACTIVE | Load Delta: 1.72
[STANDBY-SENTRY] 13:50:59 | Intent: ACTIVE | Load Delta: 0.93
[STANDBY-SENTRY] 13:51:59 | Intent: ACTIVE | Load Delta: 0.39
[STANDBY-SENTRY] 13:52:59 | Intent: ACTIVE | Load Delta: 0.32
[STANDBY-SENTRY] 13:53:59 | Intent: ACTIVE | Load Delta: 0.31
[STANDBY-SENTRY] 13:54:59 | Intent: ACTIVE | Load Delta: 0.32
[STANDBY-SENTRY] 13:55:59 | Intent: ACTIVE | Load Delta: 1.20
[STANDBY-SENTRY] 13:56:59 | Intent: ACTIVE | Load Delta: 0.53
[STANDBY-SENTRY] 13:57:59 | Intent: ACTIVE | Load Delta: 0.89
[STANDBY-SENTRY] 13:58:59 | Intent: ACTIVE | Load Delta: 0.58
[STANDBY-SENTRY] 13:59:59 | Intent: ACTIVE | Load Delta: 0.79
[STANDBY-SENTRY] 14:00:59 | Intent: ACTIVE | Load Delta: 0.36
[STANDBY-SENTRY] 14:01:59 | Intent: ACTIVE | Load Delta: 0.58
[STANDBY-SENTRY] 14:02:59 | Intent: ACTIVE | Load Delta: 0.90
